5 + 8 = 13;time: 26/06/2025	19:48:02
9 - 19 = -10;time: 26/06/2025	19:48:51
20 % 12 = 8;time: 26/06/2025	19:49:02
2 ** 12 = 4096;time: 26/06/2025	19:49:09
45 / 21 = 2.142857142857143;time: 26/06/2025	19:49:18
56 - 28 = 28;time: 26/06/2025	19:50:52
25 % 12 = 1;time: 26/06/2025	19:51:05
5 * 4 = 20;time: 26/06/2025	19:52:33
2 / 12 = 0.16666666666666666;time: 26/06/2025	19:52:42
51 - 26 = 25;time: 26/06/2025	19:53:34
54 - 32 = 22;time: 26/06/2025	19:57:59
5 / 75 = 0.06666666666666667;time: 26/06/2025	23:08:17
25 - 3 = 22;time: 26/06/2025	23:11:10
12 * 4 = 48;time: 28/06/2025;08:26:46
3 + 6 = 9;time: 28/06/2025;08:27:10
